date,region,product,salesperson,units_sold,unit_price,customer_rating,return_rate,revenue
2024-01-01,East,Tablet,David,33,299,4.2,0.138,9867
2024-01-02,West,Watch,Carol,40,299,3.4,0.119,11960
2024-01-03,North,Tablet,Alice,10,1299,4.6,0.003,12990
2024-01-04,East,Laptop,David,43,1299,3.7,0.098,55857
2024-01-05,East,Watch,David,44,799,3.7,0.116,35156
2024-01-06,West,Laptop,Carol,29,499,3.1,0.056,14471
2024-01-07,North,Watch,Alice,13,799,4.1,0.01,10387
2024-01-08,North,Watch,Carol,12,299,4.1,0.012,3588
2024-01-09,East,Phone,Alice,31,299,3.7,0.016,9269
2024-01-10,South,Laptop,Eve,46,299,4.8,0.126,13754
2024-01-11,East,Tablet,Bob,2,299,3.3,0.137,598
2024-01-12,East,Tablet,Bob,35,1299,3.7,0.018,45465
2024-01-13,East,Laptop,Bob,23,299,3.6,0.035,6877
2024-01-14,East,Tablet,Carol,17,1299,3.2,0.025,22083
2024-01-15,West,Tablet,Eve,26,1299,4.0,0.028,33774
2024-01-16,North,Laptop,Alice,8,299,4.4,0.126,2392
2024-01-17,West,Watch,David,29,299,4.0,0.05,8671
2024-01-18,West,Laptop,Alice,26,499,3.3,0.047,12974
2024-01-19,West,Watch,David,10,799,3.8,0.034,7990
2024-01-20,East,Tablet,Alice,26,299,3.0,0.091,7774
2024-01-21,South,Tablet,Eve,34,499,4.7,0.057,16966
2024-01-22,North,Tablet,David,41,499,3.2,0.112,20459
2024-01-23,South,Phone,Carol,7,799,4.2,0.031,5593
2024-01-24,West,Watch,Alice,4,1299,5.0,0.118,5196
2024-01-25,West,Phone,Alice,45,299,4.1,0.091,13455
2024-01-26,South,Phone,David,11,799,4.8,0.017,8789
2024-01-27,South,Laptop,Carol,29,299,3.5,0.062,8671
2024-01-28,South,Phone,Carol,36,499,4.5,0.13,17964
2024-01-29,West,Laptop,Eve,25,499,4.1,0.138,12475
2024-01-30,West,Laptop,Carol,21,1299,4.4,0.07,27279
2024-01-31,North,Phone,Carol,36,499,3.1,0.072,17964
2024-02-01,North,Watch,Carol,10,499,3.3,0.138,4990
2024-02-02,West,Watch,Bob,37,799,3.3,0.088,29563
2024-02-03,South,Watch,Eve,9,299,4.4,0.005,2691
